Column,BRAND,REVENUE,UNITS_MOVED
2175,MILLER LITE,"$10,192.04",640.00
1573,HORIZON,"$9,970.70","1,930.00"
3703,WONDERFUL,"$9,805.59","1,341.00"
1297,GALBANI,"$9,562.47","1,823.00"
2764,QUAKER,"$9,545.38","2,712.00"
2877,RITZ,"$9,289.04","1,934.00"
3493,TROPICANA,"$9,212.04","2,226.00"
1370,GLAD,"$9,030.85","1,289.00"
3434,TILLAMOOK,"$8,856.14","1,906.00"
1905,LAKESIDE,"$8,748.07","2,193.00"
456,BREYERS,"$8,731.49","1,467.00"
766,COKE ZERO,"$8,704.93","2,238.00"
3074,SILK,"$8,688.41","2,613.00"
2476,OREO,"$8,499.37","1,941.00"
1022,DRISCOLLS,"$8,417.45","1,855.00"
2350,NEW BELGIUM,"$8,333.14",642.00
368,BLUE DIAMOND,"$8,225.81","1,783.00"
568,CAPE COD,"$7,966.50","2,070.00"
1793,KENDALL JACKSON,"$7,905.27",373.00
1908,LA MARCA,"$7,895.66",434.00
254,BARILLA,"$7,816.27","3,746.00"
2970,SARA LEE,"$7,774.86","2,304.00"
3532,TYSON,"$7,699.19","1,052.00"
673,CHEERIOS,"$7,678.80","1,776.00"
994,DORITOS,"$7,616.33","1,811.00"
528,CABOT,"$7,604.58","1,822.00"
348,BLACK BOX,"$7,539.71",429.00
2873,RIONDO,"$7,519.82",418.00
3311,SWANSON,"$7,492.77","2,353.00"
1698,JOHNSONVILLE,"$7,488.75","1,323.00"
1597,HUNTS,"$7,436.32","4,752.00"
3725,YELLOW TAIL,"$7,421.35",565.00
1902,LA CROIX,"$7,373.71","1,351.00"
896,DAISY,"$7,334.50","2,926.00"
3293,SUNKIST,"$7,272.28","1,822.00"
2346,NESTLE TOLL HOUSE,"$7,261.74","1,816.00"
3149,SNYDERS,"$7,186.14","1,916.00"
669,CHATEAU STE MICH,"$7,103.74",426.00
824,CORONA,"$7,050.09",478.00
2842,REESE'S,"$7,031.41","2,258.00"
1294,G02 GATORADE PERFORM,"$6,966.07","1,673.00"
2692,PRESIDENT,"$6,957.78",882.00
1148,FAIRLIFE,"$6,954.92","1,718.00"
1677,JIF,"$6,938.81","1,599.00"
1934,LEAN CUISINE,"$6,878.20","2,446.00"
2192,MISSION,"$6,840.63","1,891.00"
881,CUPCAKE,"$6,690.51",549.00
487,BUBLY,"$6,685.96","1,304.00"
832,COTTONELLE,"$6,670.52",646.00
1407,GOOD COOK,"$6,638.80","1,028.00"
1516,HEINZ,"$6,623.85","2,221.00"
325,BETTY CROCKER,"$6,618.68","2,722.00"
1267,FRITO LAY,"$6,601.79",753.00
3692,WILTON,"$6,528.41","1,835.00"
402,BOLTHOUSE FARMS,"$6,495.07","2,043.00"
1975,LIPTON,"$6,413.66","1,341.00"
1215,FOLGERS,"$6,391.41",843.00
2594,PET,"$6,389.94","1,630.00"
2784,RACHAEL RAY NUTRISH,"$6,352.29",901.00
3487,TRISCUIT,"$6,348.47","1,551.00"
688,CHEX,"$6,309.73","1,497.00"
2317,NATURE VALLEY,"$6,267.73","1,469.00"
1108,ENTENMANNS,"$6,238.93","1,167.00"
1862,KORBEL,"$6,160.37",363.00
112,AMYS KITCHEN,"$6,131.36","1,386.00"
513,BUSHS BEST,"$6,074.97","3,281.00"
3645,WELCHS,"$6,068.03","1,585.00"
2490,OSCAR MAYER LUNCHABLES,"$6,055.97","1,903.00"
2331,NEESES,"$6,029.90","1,370.00"
3576,VELVEETA,"$6,014.43","1,191.00"
2619,PICTSWEET,"$5,947.02","1,958.00"
916,DASANI,"$5,920.45","1,074.00"
228,BALL PARK,"$5,913.58","1,338.00"
3742,YUENGLING,"$5,910.56",530.00
3385,THAT'S TASTY,"$5,860.67","2,183.00"
3502,TRULY,"$5,858.60",468.00
3024,SEALTEST,"$5,839.11","2,519.00"
137,APOTHIC,"$5,801.53",347.00
3068,SIERRA NEVADA,"$5,795.60",435.00
2706,PRODUCE ELECTRONIC ID BOARD,"$5,753.58","1,482.00"
299,BEL GIOIOSO,"$5,730.38",862.00
3667,WHITE CLAW,"$5,720.07",403.00
1626,INTERNATIONAL DELIGHT,"$5,720.04","1,490.00"
2075,MARIE CALLENDERS,"$5,719.71","1,303.00"
1445,GREEN GIANT,"$5,586.93","2,491.00"
1474,HALLMARK,"$5,568.60","1,404.00"
316,BERINGER,"$5,542.54",446.00
1263,FRICKS,"$5,529.26",420.00
1903,LACTAID,"$5,508.10","1,194.00"
957,DI GIORNO,"$5,472.20",890.00
2858,REYNOLDS,"$5,430.11","1,267.00"
918,DAVES KILLER BREAD,"$5,419.35",985.00
1709,JOSH CELLARS,"$5,388.30",270.00
2437,OLD EL PASO,"$5,380.03","2,579.00"
607,CASCADE,"$5,346.80",608.00
3514,TURKEY HILL,"$5,328.19","1,321.00"
1777,KELLOGGS EGGO,"$5,322.89","1,599.00"
2474,ORE IDA,"$5,242.14","1,450.00"
1671,JENNIE O,"$5,202.31",461.00
677,CHEETOS,"$5,196.11","1,479.00"
2182,MINUTE MAID,"$5,190.50","1,860.00"
2931,SABRA,"$5,170.88","1,162.00"
307,BELLE GLOS,"$5,152.31",169.00
154,ARM AND HAMMER,"$5,143.60","1,038.00"
1746,KAUKAUNA,"$5,139.42",858.00
2712,PROGRESSO,"$5,123.91","1,871.00"
1481,HANDI FOIL,"$5,123.55","1,144.00"
2567,PEETS COFFEE,"$5,055.59",501.00
747,CLOROX,"$5,023.46",982.00
813,COORS LIGHT,"$5,006.75",383.00
3660,WHEAT THINS,"$4,992.98","1,212.00"
841,CRACKER BARREL,"$4,977.57","1,234.00"
3104,SISTER SCHUBERTS,"$4,951.61",989.00
1912,LANCE,"$4,926.91","1,323.00"
426,BOTA BOX,"$4,903.32",268.00
3006,SCOTT,"$4,890.76",696.00
2917,RUFFINO,"$4,885.26",274.00
833,COUNTER CULTURE,"$4,873.08",442.00
3210,STACYS,"$4,842.79","1,021.00"
1342,GHIRARDELLI,"$4,791.17","1,139.00"
311,BEN AND JERRYS,"$4,783.68",980.00
679,CHEEZ IT,"$4,779.35",941.00
366,BLUE BUFFALO,"$4,746.52",718.00
384,BOB EVANS,"$4,743.80",920.00
2090,MARTINS,"$4,727.38","1,236.00"
2819,RED BULL,"$4,718.86",944.00
388,BOBS RED MILL,"$4,711.11",871.00
2817,RED BARON,"$4,697.57","1,175.00"
2918,RUFFLES,"$4,683.17","1,175.00"
2753,PURINA ONE,"$4,683.11",603.00
1508,HEALTHY CHOICE,"$4,680.57","1,445.00"
1808,KEURIG GREEN MOUNTAIN,"$4,635.21",457.00
1043,DURACELL,"$4,620.15",363.00
3140,SMUCKERS,"$4,569.98","1,352.00"
2881,ROBERT MONDAVI,"$4,563.02",298.00
3763,ZIPLOC,"$4,550.40","1,052.00"
179,ATKINS,"$4,488.45",665.00
2522,PANERA BREAD,"$4,487.31",819.00
998,DOVE,"$4,474.37",780.00
2233,MOTTS,"$4,446.11","1,325.00"
2080,MARLBORO,"$4,413.55",487.00
3000,SCHWEPPES,"$4,412.19","1,690.00"
2260,MT OLIVE,"$4,395.65","1,539.00"
3178,SOUTHERN COMFORT,"$4,386.30","1,090.00"
594,CAROLINA PRIDE,"$4,372.33","1,067.00"
2954,SAMUEL ADAMS,"$4,358.07",293.00
1971,LINDT,"$4,346.57","1,169.00"
806,COOKS,"$4,344.50",350.00
542,CALIFIA FARMS,"$4,327.74",906.00
1535,HICKORY FARMS,"$4,327.38",562.00
1983,LITTLE DEBBIE,"$4,301.85","1,932.00"
990,DOMINO,"$4,281.81","1,739.00"
160,ARNOLD,"$4,271.07","1,103.00"
2114,MAYFIELD,"$4,210.84",676.00
364,BLUE BELL,"$4,209.23",717.00
980,DIXIE,"$4,195.51",899.00
2611,PHILLIPS,"$4,190.12",368.00
2745,PURINA FANCY FEAST,"$4,158.52","2,930.00"
1871,KRISPY KREME,"$4,153.42","1,158.00"
267,BASS FARM,"$4,148.14",866.00
1913,LAND O FROST,"$4,111.57",753.00
2478,ORGANIC VALLEY,"$4,098.41",889.00
1268,FRITOS,"$4,052.60","1,070.00"
2520,PAMPERS,"$4,033.73",333.00
375,BLUE MOON,"$4,030.07",312.00
2310,NATURAL LIGHT,"$4,023.39",308.00
1393,GOLD PEAK,"$3,994.57","1,140.00"
1801,KERRYGOLD,"$3,974.55",695.00
3706,WOODBRIDGE BY ROBERT MONDAVI,"$3,973.99",401.00
2909,ROSINA,"$3,964.83",467.00
908,DANNON LIGHT AND FIT,"$3,955.92","1,521.00"
1261,FRESHPET,"$3,938.57",503.00
615,CASTELLO DEL POGGIO,"$3,933.87",276.00
748,CLOS DU BOIS,"$3,863.92",208.00
2833,REDDI WIP,"$3,843.90","1,020.00"
3216,STARKIST,"$3,810.49","1,865.00"
2213,MONSTER,"$3,805.96",764.00
931,DEER PARK,"$3,782.78","1,592.00"
1822,KIND,"$3,775.25",843.00
2689,PREMIUM,"$3,762.60",940.00
2337,NELLIES,"$3,755.26",630.00
334,BILTMORE,"$3,750.52",240.00
2128,MENAGE A TROIS,"$3,749.96",204.00
305,BELLATORIA,"$3,747.31",469.00
1668,JELL O,"$3,734.31","2,316.00"
2578,PEPPERIDGE FARM GOLDFISH,"$3,699.00",950.00
855,CREST,"$3,690.92",677.00
1320,GATORADE,"$3,645.51","1,049.00"
6,19 CRIMES,"$3,623.13",287.00
1296,GAIN,"$3,620.53",353.00
2746,PURINA FRISKIES,"$3,588.60","1,720.00"
1786,KELLOGGS POP TARTS,"$3,585.97","1,087.00"
1880,LA BONNE VIE,"$3,579.55",495.00
1488,HANOVER,"$3,573.71","1,395.00"
909,DANNON OIKOS,"$3,567.25","1,875.00"
1035,DUKES,"$3,547.44","1,090.00"
498,BUDWEISER,"$3,534.77",272.00
3702,WONDER,"$3,498.79","1,123.00"
3404,THE LITTLE POTATO COMPANY,"$3,497.71",779.00
3188,SPARKLING ICE,"$3,488.80","2,410.00"
3143,SNAP DRAGON,"$3,488.01",699.00
2686,PREGO,"$3,463.41","1,071.00"
3252,STONYFIELD,"$3,454.73","1,161.00"
1844,KLEENEX,"$3,442.79","1,307.00"
2042,M & M,"$3,440.42","1,345.00"
223,BAKERS,"$3,410.01","1,001.00"
1796,KENS STEAK HOUSE,"$3,409.76","1,062.00"
3680,WICKED WEED,"$3,395.23",277.00
1230,FOSTER FARMS,"$3,369.57",445.00
1033,DUCKHORN VINEYARDS,"$3,363.88",112.00
2487,ORVILLE REDENBACHERS,"$3,363.68",730.00
1254,FRENCHS,"$3,361.02","1,312.00"
3173,SOUTH MILL,"$3,357.75",995.00
1517,HELLMANNS,"$3,339.71",745.00
1209,FLORIDAS NATURAL,"$3,339.49",851.00
3079,SIMEKS,"$3,335.29",371.00
3233,STELLA ARTOIS,"$3,309.89",204.00
326,BEYOND MEAT,"$3,307.76",424.00
3471,TOTINOS,"$3,286.33","1,139.00"
2361,NEWMANS OWN,"$3,279.08",740.00
3614,VITAMINWATER,"$3,270.60","1,220.00"
1536,HIDDEN VALLEY,"$3,262.78",794.00
3348,TALENTI,"$3,238.39",541.00
2095,MARZETTI,"$3,222.32",718.00
2656,POMPEIAN,"$3,182.76",404.00
3309,SUTTER HOME,"$3,181.73",327.00
1992,LOFTHOUSE COOKIE,"$3,165.87",683.00
99,ALWAYS,"$3,126.11",425.00
478,BROWNBERRY,"$3,098.10",690.00
698,CHIPS AHOY,"$3,094.81",725.00
1852,KODIAK CAKES,"$3,090.50",750.00
812,COORS,"$3,048.20",203.00
2695,PRETTY LADY,"$3,048.06",763.89
3181,SOUTHERN PINES,"$3,044.04",296.00
3161,SOLO,"$3,027.73",615.00
1977,LIPTON PURE LEAF,"$3,022.59",811.00
2263,MUCINEX,"$3,016.13",185.00
1076,EDWARDS,"$2,995.05",529.00
1579,HOSTESS,"$2,987.09","1,180.00"
857,CRISCO,"$2,985.78",736.00
317,BERTOLLI,"$2,972.70",728.00
1363,GIOVANNI RANA,"$2,968.78",582.00
913,DARK HORSE,"$2,956.17",183.00
1042,DUPLIN,"$2,942.74",326.00
1155,FARM RICH,"$2,939.37",409.00
1335,GERBER GOOD START,"$2,930.68",160.00
168,ASA ORGANICS,"$2,920.91",659.00
2857,REX GOLIATH,"$2,909.03",197.00
674,CHEERWINE,"$2,902.96",994.00
3285,SUN MAID,"$2,880.36",832.00
1566,HONEY MAID,"$2,879.08",632.00
3112,SKINNYPOP,"$2,851.18",662.00
852,CREATIVE SNACKS,"$2,834.92",664.00
3080,SIMI,"$2,834.87",113.00
3712,WRIGHT,"$2,829.64",236.00
667,CHATEAU SOUVERAIN,"$2,804.64",136.00
3323,SWEET WATER,"$2,792.03",197.00
1791,KELLOGGS SPECIAL K,"$2,787.45",696.00
774,COLGATE,"$2,785.47",647.00
1466,GWALTNEY,"$2,762.50",750.00
505,BUMBLE BEE,"$2,756.90",977.00
66,AL FRESCO,"$2,756.82",518.00
510,BUSCH,"$2,752.76",224.00
3141,SNACK FACTORY,"$2,733.53",647.00
969,DI GIORNO,"$2,728.52",316.00
2110,MAXWELL HOUSE,"$2,725.97",365.00
1835,KISSES,"$2,711.91",441.00
921,DAWN,"$2,702.65",731.00
2268,MUMM NAPA,"$2,699.10",90.00
3615,VIVA,"$2,637.38",308.00
1821,KIM CRAWFORD,"$2,628.87",113.00
3150,SO DELICIOUS,"$2,604.62",812.00
1762,KEEBLER TOWN HOUSE,"$2,582.83",587.00
1707,JOSEPH CARR,"$2,576.41",159.00
875,CRYSTAL LIGHT,"$2,575.33",751.00
2225,MORNINGSTAR FARMS,"$2,571.48",552.00
2257,MRS SMITHS,"$2,555.68",418.00
808,COOL WHIP,"$2,548.65",999.00
3220,STARS,"$2,548.38",612.00
2371,NILLA,"$2,538.81",657.00
717,CINNAMON TOAST CRUNCH,"$2,528.38",550.00
140,APPLEGATE FARMS,"$2,516.38",462.00
2608,PF CHANGS,"$2,489.68",440.00
850,CREATE A TREAT,"$2,472.16",184.00
1460,GTS KOMBUCHA,"$2,471.74",576.00
3313,SWEET BABY RAYS,"$2,462.66",790.00
4,14 HANDS,"$2,453.33",167.00
3537,UNCLE BENS,"$2,443.85",949.00
3331,SWISS MISS,"$2,442.16",700.00
545,CALIFORNIA PIZZA KITCHEN,"$2,422.08",354.00
82,ALL,"$2,402.99",281.00
2386,NOOSA,"$2,397.50","1,058.00"
801,CONTEMPO,"$2,395.59",141.00
1824,KING ARTHUR,"$2,368.70",436.00
1515,HEINEKEN,"$2,368.54",185.00
345,BISQUICK,"$2,368.25",637.00
697,CHINET,"$2,355.55",393.00
2787,RAGU,"$2,351.52",772.00
573,CAPRI SUN,"$2,346.89",781.00
3519,TWININGS,"$2,346.42",438.00
3237,STERLING VINEYARDS,"$2,339.57",143.00
729,CLAUSSEN,"$2,335.32",468.00
76,ALEXIA,"$2,330.73",571.00
1732,KAHIKI,"$2,328.20",500.00
2800,RAOS,"$2,326.27",313.00
742,CLIF BAR,"$2,315.95",697.00
649,CHALLENGE,"$2,292.01",507.00
2566,PEETS,"$2,279.05",175.00
810,COOPER & THIEF,"$2,274.27",73.00
1253,FREIXENET,"$2,273.67",133.00
509,BURTS BEES,"$2,273.00",438.00
332,BIGELOW,"$2,258.65",629.00
134,ANNIES,"$2,253.81",603.00
451,BREAKSTONES,"$2,243.77",903.00
1001,DOWNY,"$2,236.23",321.00
906,DANNON ACTIVIA,"$2,232.77",603.00
1065,EAT SMART,"$2,232.47",503.00
2058,MAMA LUCIA,"$2,232.02",298.00
3072,SIGGIS,"$2,221.03","1,143.00"
625,CAVIT,"$2,218.64",136.00
3531,TYLENOL,"$2,193.97",271.00
328,BIC,"$2,190.22",382.00
680,CHEF BOYARDEE,"$2,175.24","1,584.00"
2299,NATHANS FAMOUS,"$2,162.47",369.00
2701,PRINGLES,"$2,161.60",960.00
3446,TOASTED HEAD,"$2,158.92",108.00
1955,LIBBYS,"$2,156.34",682.00
2714,PROPEL,"$2,154.75",445.00
3144,SNAPPLE,"$2,153.31",609.00
551,CAMERONS,"$2,152.15",285.00
1922,LAURAS LEAN BEEF,"$2,148.95",205.00
999,DOVE CHOCOLATE,"$2,143.18",412.00
2379,NOBILO,"$2,142.66",134.00
1950,LEONARD NOVELTY BAKERY,"$2,126.82",238.00
1995,LOG HOUSE,"$2,125.44",556.00
2825,RED OAK,"$2,119.99",101.00
2755,PURINA TIDY CATS,"$2,103.80",186.00
1334,GERBER,"$2,092.24","1,128.00"
1233,FOUNDERS,"$2,085.45",183.00
1819,KIKKOMAN,"$2,081.28",636.00
2924,RUSSELL STOVER,"$2,075.39",968.00
917,DAVES,"$2,074.80",520.00
1256,FRESCHETTA,"$2,059.83",247.00
2171,MILK-BONE,"$2,057.98",404.00
3733,YOPLAIT,"$2,057.66","1,673.00"
1146,FAGE,"$2,057.32",852.00
1752,KEEBLER CLUB,"$2,051.98",462.00
1956,LIBERTY CREEK,"$2,043.57",243.00
1829,KINGSFORD,"$2,036.26",202.00
3559,V8,"$2,029.31",523.00
1462,GUINNESS,"$2,024.99",201.00
400,BOLD ROCK,"$2,017.17",183.00
1578,HORMEL NATURAL CHOICE,"$2,013.54",346.00
3235,STELLA ROSA,"$2,012.71",129.00
2291,NAKED JUICE,"$2,012.37",433.00
1165,FEBREZE,"$2,007.94",362.00
1850,KOCH FOODS,"$2,004.30",320.00
2447,OLD SPICE,"$2,000.23",371.00
2132,MEOW MIX,"$1,995.19",300.00
1779,KELLOGGS FROSTED FLAKES,"$1,990.20",485.00
3022,SEAGRAMS,"$1,988.56",662.00
3381,TGI FRIDAYS,"$1,979.65",341.00
1259,FRESH STEP,"$1,964.55",151.00
585,CARNATION,"$1,961.72","1,012.00"
1877,KUNZLER,"$1,955.51",249.00
152,ARIZONA,"$1,955.11",669.00
2880,RO-TEL,"$1,953.52","1,348.00"
1038,DUNCAN HINES,"$1,951.70",788.00
2038,LYSOL,"$1,947.96",421.00
3304,SUPREME SOURCE,"$1,943.90",130.00
786,COMMUNITY COFFEE,"$1,928.72",248.00
1886,LA CREMA,"$1,927.30",70.00
2051,MAHATMA,"$1,927.06",494.00
1675,JET PUFFED,"$1,926.52",948.00
399,BOGLE,"$1,917.71",129.00
2739,PURINA BENEFUL,"$1,917.48",248.00
1245,FRANZIA,"$1,907.03",97.00
1222,FOOTHILLS,"$1,905.55",145.00
3659,WEWALKA,"$1,899.73",527.00
1196,FITVINE,"$1,899.00",100.00
120,ANDRE,"$1,888.11",189.00
1981,LITEHOUSE,"$1,870.61",439.00
1468,HAAGEN DAZS,"$1,866.33",327.00
834,COUNTRY CROCK,"$1,859.74",516.00
3328,SWIFFER,"$1,844.24",214.00
3577,VENDANGE,"$1,842.54",246.00
803,COOKED PERFECT,"$1,821.95",239.00
420,BORN FREE,"$1,821.35",365.00
3128,SMARTFOOD,"$1,819.09",487.00
187,AUNT JEMIMA,"$1,818.74",574.00
2967,SANTITAS,"$1,811.39",791.00
781,COLUMBUS,"$1,807.31",169.00
127,ANGRY ORCHARD,"$1,805.72",153.00
1654,JAM,"$1,799.28",72.00
3131,SMARTWATER,"$1,794.36",554.00
1703,JONES DAIRY FARM,"$1,786.24",526.00
2351,NEW BRIDGE,"$1,785.01",299.00
2713,PROMISED LAND DAIRY,"$1,780.77",563.00
25,A AND W,"$1,780.23",527.00
1921,LATE JULY,"$1,778.89",409.00
561,CANDLE LITE,"$1,776.52",358.00
2585,PERO,"$1,775.74",426.00
1787,KELLOGGS RAISIN BRAN,"$1,773.16",452.00
1904,LAGUNITAS,"$1,759.20",211.00
2142,MEZZETTA,"$1,757.06",428.00
599,CARRS,"$1,756.27",433.00
2507,PACE,"$1,753.81",563.00
1879,LA BANDERITA,"$1,752.31",607.00
1514,HEBREW NATIONAL,"$1,752.16",184.00
1340,GEVALIA,"$1,751.29",205.00
335,BILTMORE ESTATE,"$1,750.96",104.00
1084,EL MONTEREY,"$1,744.78",664.00
550,CAMEL,"$1,738.96",154.00
1929,LE BLEU,"$1,735.71",359.00
1612,IDAHOAN,"$1,727.52",968.00
310,BELVITA,"$1,715.07",389.00
1390,GOGO SQUEEZ,"$1,714.56",282.00
553,CAMPBELLS CHUNKY,"$1,713.84",636.00
1171,FETZER,"$1,709.89",111.00
3093,SIMPLY POTATOES,"$1,707.50",550.00
2091,MARUCHAN,"$1,705.58","2,002.00"
2327,NATURES TWIST,"$1,702.51",499.00
1308,GARDEN FRESH GOURMET,"$1,702.51",399.00
3287,SUNBEAM,"$1,698.28",632.00
3689,WILLIAM HILL,"$1,696.31",69.00
964,DIBON,"$1,693.87",113.00
1058,EAGLE BRAND,"$1,692.38",554.00
3361,TASTYKAKE,"$1,688.18",552.00
50,ADVIL,"$1,686.61",207.00
1847,KNORR,"$1,685.07",931.00
172,ASTIN STRAWBERRY EXCHANGE,"$1,681.63",337.00
601,CARVEL,"$1,679.12",88.00
1006,DR OETKER,"$1,677.20",280.00
2165,MIKES HARD,"$1,673.57",257.00
2499,OUTSHINE,"$1,671.90",310.00
455,BREW PUB PIZZA,"$1,669.91",209.00
2356,NEW YORK,"$1,659.60",638.00
2887,RODNEY STRONG,"$1,657.21",79.00
1250,FREEDS BAKERY,"$1,652.33",347.00
728,CLASSICO,"$1,652.05",567.00
989,DOMAINE CHANDON,"$1,646.39",61.00
710,CHRISTOPHER RANCH,"$1,640.40",510.00
2563,PEDIGREE,"$1,635.97",393.00
2027,LUCKY CHARMS,"$1,634.98",408.00
2319,NATURES BOUNTY,"$1,633.24",120.00
23,7UP,"$1,625.17",583.00
2660,POP SECRET,"$1,619.48",392.00
1415,GOOD THINS,"$1,591.52",398.00
176,ATHENOS,"$1,576.65",213.00
2201,MODELO ESPECIAL,"$1,576.15",106.00
3584,VEUVE CLICQUOT,"$1,574.79",21.00
56,AIDELLS,"$1,573.54",246.00
3187,SPARKLE,"$1,566.98",242.00
2928,RXBAR,"$1,559.09",281.00
3613,VITAL FARMS,"$1,551.11",239.00
1918,LARABAR,"$1,548.19",391.00
2348,NEUTROGENA,"$1,545.52",184.00
2512,PALERMOS,"$1,542.07",193.00
3008,SCREAMIN SICILIAN,"$1,540.52",218.00
1341,GH MUMM AND CIE,"$1,535.76",24.00
220,BAI,"$1,530.81",699.00
1138,EXTRA,"$1,526.34",670.00
458,BRIDGFORD,"$1,525.64",290.00
3483,TRIBE,"$1,522.31",469.00
3019,SEA SALT,"$1,517.34",66.00
158,ARMOUR,"$1,515.10",610.00
3553,V NYQUIL,"$1,513.64",130.00
1427,GOURMET GARDEN,"$1,511.97",303.00
1126,EVEREADY,"$1,506.80",226.00
1866,KRETSCHMAR,"$1,504.26",256.00
3351,TAMPAX,"$1,499.59",207.00
3292,SUNDOWN NATURALS,"$1,491.27",139.00
396,BODYARMOR,"$1,489.74",716.00
1750,KEEBLER,"$1,489.59",397.00
2186,MIO,"$1,484.28",372.00
576,CARANDO,"$1,477.04",296.00
1184,FIORUCCI,"$1,468.65",235.00
2508,PACIFIC,"$1,468.09",331.00
778,COLOR ORCHIDS,"$1,459.13",87.00
2840,REESE'S,"$1,458.63",475.00
2185,MINUTE RICE,"$1,458.35",491.00
2719,PUFFS,"$1,456.60",378.00
1979,LISTERINE,"$1,453.81",235.00
925,DEANS,"$1,451.14",574.00
2669,POST HONEY BUNCHES OF OATS,"$1,450.23",327.00
2560,PEDERSONS,"$1,450.18",182.00
3757,ZESTA,"$1,449.10",380.00
1537,HIDDEN VALLEY RANCH,"$1,447.58",582.00
138,APPALACHIAN MOUNTAIN,"$1,444.79",121.00
907,DANNON DANIMALS,"$1,442.09",341.00
1350,GILLETTE FUSION,"$1,436.33",77.00
713,CIGAR BOX,"$1,434.20",80.00
1066,ECCO DOMANI,"$1,431.26",74.00
2513,PALL MALL,"$1,430.06",124.00
2190,MIRASSOU,"$1,427.02",98.00
2249,MRS CUBBISONS,"$1,425.34",706.00
354,BLACK TIE,"$1,422.20",80.00
3668,WHITE HOUSE,"$1,421.43",367.00
1107,ENSURE,"$1,411.90",144.00
1410,GOOD HEALTH,"$1,411.55",355.00
3373,TERRAFRESH,"$1,408.47",353.00
1117,ESTANCIA,"$1,408.03",97.00
818,CORBETT CANYON,"$1,407.87",113.00
3534,UDIS,"$1,406.43",237.00
1381,GNARLY HEAD,"$1,399.00",100.00
1539,HIGHLAND,"$1,398.88",112.00
3045,SENSODYNE,"$1,398.47",213.00
434,BOURSIN,"$1,398.25",175.00
3196,SPLENDA,"$1,398.25",187.00
1583,HOT POCKETS,"$1,397.02",404.00
2902,ROSCATO,"$1,391.08",92.00
3363,TAYLOR,"$1,390.62",138.00
3283,SUN DROP,"$1,386.95",405.00
308,BELLS,"$1,383.98",130.00
211,BABYBEL,"$1,383.46",254.00
1593,HUGGIES,"$1,379.92",252.00
1425,GORTONS,"$1,375.96",184.00
1718,JUICY JUICE,"$1,374.71",399.00
