,index,CATEGORY,REVENUE,UNITS_MOVED,AVERAGE_SALES_PER_UNIT
193,155,Misc Produce,$405.49,165.74,$2.45
194,56,Corn,$394.04,206.61,$1.91
195,22,Books,$380.63,60.52,$6.29
196,103,Frozen Juice,$325.98,114.26,$2.85
197,223,Toys,$300.31,82.42,$3.64
198,77,Electronics,$300.07,25.29,$11.87
199,153,Misc HBC,$291.29,121.71,$2.39
200,192,Salad or Side Toppings,$286.73,78.81,$3.64
201,201,Shelf Stable Milk and Milk Like Bev,$246.94,68.87,$3.59
202,81,Family Planning,$242.88,26.87,$9.04
203,45,Chili,$237.96,104.32,$2.28
204,154,Misc Meat,$237.49,76.32,$3.11
205,75,Dry Packaged Dinners and Kits,$230.16,97.32,$2.36
206,200,Shelf Stable Entrees,$207.17,71.58,$2.89
207,120,Hair Accessories,$199.38,49.45,$4.03
208,122,Hair Color,$198.54,23.26,$8.54
209,159,Nail Care,$197.47,60.52,$3.26
210,138,Kosher,$164.72,39.97,$4.12
211,87,Foot Care,$140.72,21.90,$6.42
212,8,Auto,$133.99,31.84,$4.21
213,152,Misc Dairy,$132.03,40.87,$3.23
214,7,Audio Video,$90.14,18.06,$4.99
215,160,Newspapers Calendars Maps,$89.74,31.84,$2.82
216,127,Hosiery,$87.68,10.84,$8.09
217,140,Lawn And Garden Accessories,$87.55,6.55,$13.37
218,98,Fresh Veal,$76.78,10.39,$7.39
219,134,Insect and Rodent,$66.70,17.84,$3.74
220,104,Frozen Pet,$60.03,12.42,$4.83
221,50,Clothing Care,$54.69,15.58,$3.51
222,211,Sporting Goods,$38.01,8.81,$4.32
223,193,Salt,$24.35,3.39,$7.19
224,27,Bulk Beans and Grains,$23.66,12.86,$1.84
225,28,Bulk Candy,$23.34,11.73,$1.99
226,65,Diabetic,$14.89,1.35,$10.99
227,18,Bathroom Accessories,$6.65,1.13,$5.89
228,214,Sun Care,$2.26,0.23,$9.99
229,114,Gift Cards,"$-52,047.47",-729.81,$71.32
